parentTconst,seasonNumber
tt0797756,1
tt0797756,1
tt0058836,3
tt0212699,5
tt0058836,3
tt0058853,1
tt0165593,5
tt0212699,4
tt0165593,4
tt0065303,1
tt0058853,1
tt0165593,4
tt0958966,1
tt0958966,1
tt0063927,1
tt0065317,1
tt1601979,1
tt0297621,1
tt0958966,1
tt0046593,16
tt0065327,1
tt0398430,3
tt0212699,4
tt0212699,4
tt0297621,1
tt1601979,1
tt0058853,1
tt0058836,3
tt0058853,1
tt0212699,5
tt1245421,0
tt0058836,3
tt0242211,8
tt0063955,1
tt0165593,5
tt0914702,12
tt0063928,1
tt1157603,1
tt1601979,1
tt0063873,1
tt0065357,1
tt0066625,1
tt0958966,2
tt0165592,1
tt0212699,5
tt1685416,1
tt0958966,2
tt0200358,3
tt1342999,1
tt0165592,1
tt1685416,1
tt0058853,1
tt1415092,4
tt0165593,6
tt0958966,2
tt0797756,1
tt0797756,1
tt0297621,3
tt0165592,1
tt0212699,5
tt0165593,5
tt0058853,1
tt0212699,5
tt0958966,2
tt1685416,1
tt1342999,1
tt0297621,2
tt0212699,5
tt0165592,1
tt0066681,1
tt1685416,1
tt0165593,6
tt1077047,1
tt0958966,2
tt0066631,1
tt0066705,1
tt0797756,1
tt0212699,6
tt0958966,2
tt0165592,1
tt0058853,1
tt0165593,5
tt0165593,6
tt0065343,1
tt0066708,1
tt0797756,1
tt0058853,1
tt0165593,5
tt0058853,1
tt0806910,1
tt0806910,1
tt1685416,1
tt0165593,6
tt1157603,1
tt0055701,6
tt0958966,2
tt0958966,2
tt0165593,6
tt0212699,6
tt0165593,6
tt0165592,1
tt0212699,6
tt0212699,6
tt0068045,1
tt0212699,6
tt0165593,6
tt0165593,7
tt0058836,4
tt1466074,1
tt1466074,1
tt1466074,1
tt1466074,1
tt6074004,1
tt0058836,4
tt0927036,1
tt0165593,6
tt0068067,1
tt0165592,2
tt0165592,1
tt0212699,6
tt0935096,0
tt0797756,1
tt0165592,1
tt0212699,7
tt0068077,1
tt0165592,1
tt0159876,1
tt0068149,1
tt0212699,7
tt0065349,2
tt0212699,6
tt0212699,5
tt0065349,2
tt0165592,1
tt0165592,2
tt0165593,7
tt0806910,1
tt0066693,1
tt0165592,2
tt0066685,1
tt0165592,1
tt0066696,1
tt0297621,3
tt0165593,6
tt0806901,1
tt0297621,3
tt0061266,5
tt0212699,6
tt0165593,7
tt0806910,1
tt0212699,6
tt2162303,0
tt0165592,2
tt0165593,7
tt0806910,1
tt0806910,1
tt0806910,1
tt0806910,1
tt0806910,1
tt0806910,1
tt0212699,6
tt0797756,1
tt0165592,2
tt0165593,7
tt0058836,4
tt1157603,1
tt0165592,1
tt0212699,7
tt0212699,8
tt0068527,1
tt0068044,1
tt0165592,3
tt0212699,7
tt0849411,0
tt0212699,8
tt1466074,1
tt1466074,2
tt1466074,1
tt1466074,2
tt1466074,1
tt1466074,1
tt1466074,2
tt1466074,2
tt0068527,1
tt0068060,1
tt0165592,2
tt0068064,1
tt2162303,0
tt0297628,1
tt0165592,3
tt0165593,8
tt0797756,1
tt0165592,3
tt0797756,1
tt0165593,8
tt0212699,7
tt0212699,8
tt0068093,1
tt0165593,7
tt0212699,8
tt0165593,8
tt0165592,3
tt0165593,7
tt0212699,7
tt0165593,8
tt2162303,0
tt0212699,7
tt0797756,1
tt2162303,0
tt0212699,7
tt0806910,1
tt0165592,3
tt0068126,1
tt0423738,1
tt0423738,1
tt0222545,1
tt0069633,1
tt0165592,2
tt0068135,1
tt0806910,1
tt0806910,1
tt0806910,1
tt0806910,1
tt0069643,1
tt1414347,1
tt0212699,8
tt0797756,1
tt1414347,1
tt0212699,7
tt0046593,17
tt0222545,1
tt0212699,8
tt0165592,3
tt0165593,8
tt1695587,0
tt0797756,1
tt0165593,8
tt0297621,6
tt0165593,8
tt1466074,2
tt1466074,3
tt1466074,3
tt1466074,3
tt1466074,2
tt1466074,3
tt1466074,2
tt0165593,9
tt0212699,8
tt0164295,1
tt0931193,1
tt0931193,1
tt0931193,1
tt0202206,1
tt0407366,1
tt0065296,4
tt0165592,3
tt0069589,1
tt0165592,4
tt0212699,8
tt0762803,1
tt0070977,2
tt0297621,5
tt0069606,1
tt0165592,3
tt0069599,1
tt0298709,1
tt1667703,1
tt1695587,0
tt1667703,1
tt0164295,2
tt0165592,3
tt0312084,1
tt1049986,1
tt0212699,8
tt0069620,1
tt0165593,9
tt0165593,9
tt0202179,2
tt0165593,8
tt0164295,1
tt0165592,3
tt0165592,3
tt0797756,1
tt0070993,1
tt0806910,1
tt0806910,1
tt0348892,0
tt0165592,3
tt0069646,1
tt0298709,1
tt0065327,2
tt1695587,0
tt0267198,1
tt0165592,4
tt0159876,0
tt0277509,1
tt0072470,1
tt0069633,1
tt0202179,3
tt0762803,1
tt0165593,9
tt0165592,4
tt0164295,2
tt1466074,3
tt1466074,4
tt1466074,3
tt1466074,4
tt1466074,3
tt1466074,2
tt1466074,3
tt0277509,1
tt0165593,9
tt0165593,10
tt0200358,8
tt0277509,1
tt0070990,1
tt0199214,3
tt1091486,1
tt0071012,1
tt1049986,2
tt1049986,1
tt0165592,4
tt0071007,1
tt0071008,1
tt0806910,1
tt1389029,1
tt1091486,1
tt0164295,4
tt1389029,1
tt0071017,1
tt0164295,6
tt0202206,0
tt0164295,3
tt0969783,1
tt0165593,10
tt0071042,1
tt0165592,4
tt0063920,6
tt0071056,1
tt1091486,1
tt0165593,9
tt0072567,1
tt0806910,1
tt0806910,1
tt0072576,1
tt0270780,1
tt0165593,10
tt0849411,0
tt0202206,0
tt0165592,6
tt0165593,10
tt1614886,1
tt0072471,1
tt1614886,1
tt0072478,1
